args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 2] Epoch 270, Loss: 0.3901, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.8527, Test F1: 0.7971
[split 2] Epoch 280, Loss: 0.3900, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.8527, Test F1: 0.7971
[split 2] Epoch 290, Loss: 0.3899, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.8527, Test F1: 0.7971
[split 2] Epoch 300, Loss: 0.3899, Val Acc: 0.8125, Test Acc: 0.8039, Test Pre: 0.8527, Test F1: 0.7971
Best Test Metrics for split 2: {'accuracy': 0.8627450980392157, 'precision': 0.8392156958580017, 'f1': 0.8417164087295532}
params:  15623269
[split 3] Epoch 010, Loss: 0.7161, Val Acc: 0.7750, Test Acc: 0.7255, Test Pre: 0.6784, Test F1: 0.6775
[split 3] Epoch 020, Loss: 0.5187, Val Acc: 0.7875, Test Acc: 0.8431, Test Pre: 0.8299, Test F1: 0.8115
[split 3] Epoch 030, Loss: 0.4627, Val Acc: 0.8625, Test Acc: 0.8431, Test Pre: 0.8253, Test F1: 0.8235
[split 3] Epoch 040, Loss: 0.4302, Val Acc: 0.8375, Test Acc: 0.8627, Test Pre: 0.8425, Test F1: 0.8402
[split 3] Epoch 050, Loss: 0.4148, Val Acc: 0.8000, Test Acc: 0.8824, Test Pre: 0.8601, Test F1: 0.8604
[split 3] Epoch 060, Loss: 0.4072, Val Acc: 0.7875, Test Acc: 0.8627, Test Pre: 0.8487, Test F1: 0.8461
[split 3] Epoch 070, Loss: 0.4030, Val Acc: 0.7875, Test Acc: 0.8824, Test Pre: 0.8646, Test F1: 0.8646
[split 3] Epoch 080, Loss: 0.4004, Val Acc: 0.7875, Test Acc: 0.8824, Test Pre: 0.8646, Test F1: 0.8646
[split 3] Epoch 090, Loss: 0.3987, Val Acc: 0.7875, Test Acc: 0.8627, Test Pre: 0.8487, Test F1: 0.8461
[split 3] Epoch 100, Loss: 0.3974, Val Acc: 0.7875, Test Acc: 0.8824, Test Pre: 0.8646, Test F1: 0.8646
[split 3] Epoch 110, Loss: 0.3964, Val Acc: 0.7875, Test Acc: 0.8627, Test Pre: 0.8392, Test F1: 0.8444
[split 3] Epoch 120, Loss: 0.3955, Val Acc: 0.7875, Test Acc: 0.8627, Test Pre: 0.8392, Test F1: 0.8444
[split 3] Epoch 130, Loss: 0.3947, Val Acc: 0.7875, Test Acc: 0.8627, Test Pre: 0.8392, Test F1: 0.8444
[split 3] Epoch 140, Loss: 0.3940, Val Acc: 0.7750, Test Acc: 0.8627, Test Pre: 0.8392, Test F1: 0.8444
[split 3] Epoch 150, Loss: 0.3934, Val Acc: 0.7625, Test Acc: 0.8627, Test Pre: 0.8392, Test F1: 0.8444
[split 3] Epoch 160, Loss: 0.3928, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 170, Loss: 0.3923, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 180, Loss: 0.3919, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 190, Loss: 0.3915, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 200, Loss: 0.3911, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 210, Loss: 0.3909, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 220, Loss: 0.3906, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 230, Loss: 0.3904, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 240, Loss: 0.3903, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8252, Test F1: 0.8247
[split 3] Epoch 250, Loss: 0.3902, Val Acc: 0.7875, Test Acc: 0.8431, Test Pre: 0.8331, Test F1: 0.8260
[split 3] Epoch 260, Loss: 0.3901, Val Acc: 0.7875, Test Acc: 0.8431, Test Pre: 0.8331, Test F1: 0.8260
[split 3] Epoch 270, Loss: 0.3900, Val Acc: 0.7875, Test Acc: 0.8431, Test Pre: 0.8331, Test F1: 0.8260
[split 3] Epoch 280, Loss: 0.3899, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8331, Test F1: 0.8260
[split 3] Epoch 290, Loss: 0.3899, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8331, Test F1: 0.8260
[split 3] Epoch 300, Loss: 0.3898, Val Acc: 0.7750, Test Acc: 0.8431, Test Pre: 0.8331, Test F1: 0.8260
Best Test Metrics for split 3: {'accuracy': 0.8431372549019608, 'precision': 0.8528892993927002, 'f1': 0.8212825059890747}
params:  15623269
[split 4] Epoch 010, Loss: 0.7040, Val Acc: 0.7750, Test Acc: 0.6667, Test Pre: 0.6381, Test F1: 0.6249
[split 4] Epoch 020, Loss: 0.5039, Val Acc: 0.8000, Test Acc: 0.8431, Test Pre: 0.8686, Test F1: 0.8356
[split 4] Epoch 030, Loss: 0.4624, Val Acc: 0.8000, Test Acc: 0.8627, Test Pre: 0.8856, Test F1: 0.8643
[split 4] Epoch 040, Loss: 0.4313, Val Acc: 0.7875, Test Acc: 0.8431, Test Pre: 0.8763, Test F1: 0.8427
[split 4] Epoch 050, Loss: 0.4164, Val Acc: 0.7750, Test Acc: 0.8235, Test Pre: 0.8443, Test F1: 0.8156
[split 4] Epoch 060, Loss: 0.4080, Val Acc: 0.7750, Test Acc: 0.8627, Test Pre: 0.8660, Test F1: 0.8560
